trial,lstm_units,attention_heads,dropout_rate,latent_dim,learning_rate,batch_size,num_features_to_select,qubits,subsample_size,time_steps,n_features_selected,val_best_accuracy,test_accuracy,test_precision,test_recall,test_f1,test_mse,epochs_trained
0,256,2,0.2,64,0.001,32,20,2,50000,10,20,0.7106842994689941,0.7115230728194185,0.7106493827544563,0.7115230728194185,0.6804178528563593,0.030638931319117546,21
1,128,8,0.2,64,0.002,128,20,2,50000,10,20,0.7024142742156982,0.7032542011202988,0.7412691955085812,0.7032542011202988,0.668704440322062,0.030061453580856323,35
2,256,4,0.2,16,0.0005,32,20,2,50000,10,20,0.7157529592514038,0.7163243531608429,0.729283384131455,0.7163243531608429,0.6881161114696239,0.028981231153011322,34
3,256,8,0.2,64,0.0005,128,30,2,50000,10,30,0.763372004032135,0.7604694585222727,0.7461998678315543,0.7604694585222727,0.7420962085944357,0.024339474737644196,40
4,128,4,0.4,16,0.0005,128,30,2,50000,10,30,0.6681339144706726,0.6747132568684983,0.661680665919077,0.6747132568684983,0.6259969677024041,0.03534324839711189,40
5,192,4,0.3,16,0.001,32,20,2,50000,10,20,0.6745364665985107,0.676313683648973,0.7163929139575591,0.676313683648973,0.6262439699476771,0.03177815303206444,24
6,192,2,0.4,32,0.002,64,20,2,50000,10,20,0.6637321710586548,0.6709789277140571,0.7025758127501978,0.6709789277140571,0.620403105786157,0.032950472086668015,29
7,256,4,0.2,32,0.0005,128,30,2,50000,10,30,0.7560357451438904,0.753267538010136,0.7591783080623031,0.753267538010136,0.7301958170742032,0.02437741495668888,40
8,256,8,0.4,64,0.0005,128,20,2,50000,10,20,0.58476722240448,0.5950920245398773,0.5918607257318195,0.5950920245398773,0.5671264099302915,0.04248088598251343,40
9,128,8,0.3,32,0.0005,32,20,2,50000,10,20,0.6721355319023132,0.6739130434782609,0.6919275784286208,0.6739130434782609,0.6465652265424897,0.03180046007037163,38
10,192,4,0.5,64,0.001,32,30,2,50000,10,30,0.7277577519416809,0.7252600693518272,0.7042661893567203,0.7252600693518272,0.7013148154189296,0.029159175232052803,38
11,192,2,0.4,64,0.002,128,20,2,50000,10,20,0.6473255753517151,0.6505734862630035,0.6604330870100816,0.6505734862630035,0.6024433800796896,0.03517908975481987,34
